sku;name;paramsynonym;category;enabled;price;purchaseprice;amount;sku:size:color:price:purchaseprice:amount;unit;discount;shippingprice;weight;size;briefdescription;description;title;metakeywords;metadescription;h1;photos;videos;markers;properties;producer;preorder;salesnote;related sku;alternative sku;custom options;gtin;googleproductcategory;adult;manufacturer_warranty
00000010950;Конструктор Танк, 119 деталей;00000010950;[Конструкторы >> BANBAO конструкторы];+;894,00;638,52;7;;шт;0,00;0,00;0,00;0 x 0 x 0;;Конструктор Танк <br />Из 118 элементов этого конструктора можно собрать легкий танк. <br />В набор входит 4 фигурки воинов с оружием. Башня танка поворачивается, ствол поднимается-опускается. Люки башни и отсека водителя открываются. Гусеницы сделаны из мягкого пластика. <br />Возраст: с 5 лет <br />Количество деталей: 118 <br />Размер упаковки: 40 x 30 x 5 см;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#PRODUCT_NAME#;8073.jpg;;;"Бренд:BANBAO;Размеры:37.5x6.5x28.5;Вес:0.713;Пол:Для девочек;Пол:Для мальчиков";;-;;;;;;;-;-
00000010951;Конструктор Танк, 330 деталей;00000010951;[Конструкторы >> BANBAO конструкторы];+;1117,00;797,69;12;;шт;0,00;0,00;0,00;0 x 0 x 0;;Игрушки конструкторы banbao предназначены для детей в возрасте от 5 лет. Элементы игрушек изготовлены из прочной цветной пластмассы, не содержащей вредных веществ. Игрушки banbao позволяют ребенку самому собрать ее, что способствует развитию умственных способностей, фантазии и моторики рук ребенка. <br /> <br />В данном наборе представлен Конструктор Танк. <br /> <br />В наборе: <br /> <br />- 330 деталей, <br />- 2 фигурки воинов с оружием. <br />- инструкция. <br /> <br />Развитие ребенка: <br /> <br />Улучшается координация движений. <br />Развивается мелкая моторика рук. <br />Стимулируется игровая деятельность. <br />Развивается воображение. <br /> <br />Особенности: <br /> <br />Башня танка поворачивается, ствол поднимается-опускается.  <br />Люки башни и отсека водителя открываются.  <br />Гусеницы сделаны из мягкого пластика. <br /> <br />Дополнительно: <br /> <br />Упаковка: картонная коробка. <br />Материал: пластмасса. <br />Размер упаковки:  40 x 30 x 5.5 см.  <br />Возраст: 5+.;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#PRODUCT_NAME#;8074.jpg;;;"Бренд:BANBAO;Размеры:37.5x6.5x28.5;Вес:0.888;Пол:Для девочек;Пол:Для мальчиков";;-;;;;;;;-;-
00000010952;Конструктор Военный самолет, 150 деталей;00000010952;[Конструкторы >> BANBAO конструкторы];+;411,00;293,54;24;;шт;0,00;0,00;0,00;0 x 0 x 0;;Игрушки конструкторы banbao предназначены для детей в возрасте от 5 лет. Элементы игрушек изготовлены из прочной цветной пластмассы, не содержащей вредных веществ. Игрушки banbao позволяют ребенку самому собрать ее, что способствует развитию умственных способностей, фантазии и моторики рук ребенка. <br /> <br />В данном наборе представлен Конструктор Военный самолет. <br /> <br />В наборе: <br /> <br />- 150  деталей, <br />- инструкция. <br /> <br />Развитие ребенка: <br /> <br />Улучшается координация движений. <br />Развивается мелкая моторика рук. <br />Стимулируется игровая деятельность. <br />Развивается воображение. <br /> <br />Дополнительно: <br /> <br />Упаковка: картонная коробка. <br />Материал: пластмасса. <br />Размер упаковки:  23 x 15 x 5.5 см.  <br />Возраст: 5+.;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#PRODUCT_NAME#;8075.jpg;;;"Бренд:BANBAO;Размеры:23x5x15;Вес:0.300;Пол:Для девочек;Пол:Для мальчиков";;-;;;;;;;-;-
00000010953;Конструктор Самолет, 250 деталей;00000010953;[Конструкторы >> BANBAO конструкторы];+;1141,00;815,27;14;;шт;0,00;0,00;0,00;0 x 0 x 0;;Конструктор Самолет  <br />Из 250 элементов этого конструктора можно собрать самолет-невидимку . <br />В набор входит фигурка пилота. Фонарь кабины поднимается вверх. <br /> <br />Производитель:  BanBao   <br />Возраст:  с 5 лет   <br />Количество деталей:  250   <br />Размер упаковки:  40 x 30 x 5.5 см   <br />Вес продукта: 830 g;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#PRODUCT_NAME#;8076.jpg;;;"Бренд:BANBAO;Размеры:37.5x6.5x28.5;Вес:0.963;Пол:Для девочек;Пол:Для мальчиков";;-;;;;;;;-;-
00000010954;Конструктор Военный самолет, 190 деталей;00000010954;[Конструкторы >> BANBAO конструкторы];+;573,00;408,97;29;;шт;0,00;0,00;0,00;0 x 0 x 0;;Конструктор Военный самолет из 150 элементов этого конструктора можно собрать гоночный внедорожник. Из элементов этого конструктора можно собрать боевой самолет. Пропеллер самолета вращается. Есть фигурка пилота и подвесные ракеты. <br />Количество деталей: 150 <br />Размер упаковки: 23x15x5 см <br />Вес продукта: 250 g <br />Материал: пластмасса <br />Возраст: с 5 лет.;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#PRODUCT_NAME#;8077.jpg;;;"Бренд:BANBAO;Размеры:30x5x22.5;Вес:0.417;Пол:Для девочек;Пол:Для мальчиков";;-;;;;;;;-;-
00000010957;Конструктор Дворец с аксессуарами, 4 фигурки, 580 деталей;00000010957;[Конструкторы >> BANBAO конструкторы];+;1694,00;1209,82;9;;шт;0,00;0,00;0,00;0 x 0 x 0;;Конструктор Дворец с аксессуарами - конструктор для девочек,постройте свой дворец,в котором будут уютно и дружно жить куколки.  <br />В наборе : 4 фигурки, 580 деталей. <br />Упаковка: картонная коробка. <br />Размер : 45х35х7 см. <br />Возраст: от 5 лет.;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#PRODUCT_NAME#;8078.jpg;;;"Бренд:BANBAO;Размеры:45x7x35;Вес:1.333;Пол:Для девочек;Пол:Для мальчиков";;-;;;;;;;-;-
00000010958;Конструктор Пентхаус с аксессуарами, 2 фигурки, 380 деталей;00000010958;[Конструкторы >> BANBAO конструкторы];+;1035,00;739,53;7;;шт;0,00;0,00;0,00;0 x 0 x 0;;Игрушки конструкторы banbao предназначены для детей в возрасте от 5 лет. Элементы игрушек изготовлены из прочной цветной пластмассы, не содержащей вредных веществ. Игрушки banbao позволяют ребенку самому собрать ее, что способствует развитию умственных способностей, фантазии и моторики рук ребенка. <br /> <br />В данном наборе представлен Конструктор Пентхаус. <br /> <br />В наборе: <br /> <br />- 380  деталей, <br />- 2 фигурки. <br />- инструкция. <br /> <br />Развитие ребенка: <br /> <br />Улучшается координация движений. <br />Развивается мелкая моторика рук. <br />Стимулируется игровая деятельность. <br />Развивается воображение. <br /> <br />Дополнительно: <br /> <br />Упаковка: картонная коробка. <br />Материал: пластмасса. <br />Возраст: 5+.;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#PRODUCT_NAME#;8079.jpg;;;"Бренд:BANBAO;Размеры:33x7x24;Вес:0.794;Пол:Для девочек;Пол:Для мальчиков";;-;;;;;;;-;-
00000010959;Конструктор Дворец с аксессуарами, 4 фигурки,  500 деталей;00000010959;[Конструкторы >> BANBAO конструкторы];+;1394,00;995,57;12;;шт;0,00;0,00;0,00;0 x 0 x 0;;Конструктор Дворец - серия конструкторов для девочек «Маленькая принцесса» - обогатилась набором с уникальной возможностью создавать свой интерьер замковых покоев.  <br />В наборе 500 деталей, 4 фигурки человечков и инструкция. <br />Упаковка: картонная коробка. <br />Размер : 45х35х7 см. <br />Возраст: от 5 лет.;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#PRODUCT_NAME#;8080.jpg;;;"Бренд:BANBAO;Размеры:45x7x35;Вес:1.150;Пол:Для девочек;Пол:Для мальчиков";;-;;;;;;;-;-
00000010960;Конструктор Дворец с аксессуарами,  4 фигурки, 380 деталей;00000010960;[Конструкторы >> BANBAO конструкторы];+;1185,00;846,29;6;;шт;0,00;0,00;0,00;0 x 0 x 0;;Пластиковый конструктор для девочек из серии Fantasy World поможет вашему ребенку почувствовать себя настоящим архитектором.Количество деталей: 380,4 фигурки человечков и аксессуары. <br />Упаковка: картонная коробка. <br />Возраст: от 5 лет.;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#PRODUCT_NAME#;8081.jpg;;;"Бренд:BANBAO;Размеры:37.5x6.5x28.5;Вес:0.950;Пол:Для девочек;Пол:Для мальчиков";;-;;;;;;;-;-
00000010961;Конструктор Дворец, 555 деталей;00000010961;[Конструкторы >> BANBAO конструкторы];+;2059,00;1470,56;5;;шт;0,00;0,00;0,00;0 x 0 x 0;;Пластиковый конструктор Дворец серии Fantasy World предназначен для девочек. Он поможет вашему ребенку почувствовать себя настоящим архитектором. <br />Количество деталей: 555 ,4 фигурки человечков и аксессуары. <br />Упаковка: картонная коробка. <br />Размер : 53х35х7 см. <br />Возраст: от 5 лет.;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#STORE_NAME# - #PRODUCT_NAME#;#PRODUCT_NAME#;8082.jpg;;;"Бренд:BANBAO;Размеры:53x7x35;Вес:1.625;Пол:Для девочек;Пол:Для мальчиков";;-;;;;;;;-;-
